NP_001254479	NP_001372637
XP_011509912	NP_001342095
XP_011510726	NP_001096077
NP_079413	NP_663506
NP_001008938	XP_030108029
NP_055950	XP_006506653
XP_011540175	XP_006502927
XP_005273221	XP_006497303
NP_115618	NP_032907
NP_001092874	XP_006512056
XP_011532135	XP_006512139
XP_005246356	XP_036018419
XP_024307774	XP_006500664
NP_001264	XP_006505344
NP_002842	XP_006505075
NP_002841	XP_036016309
XP_011522177	XP_006534552
XP_011509935	NP_032595
NP_056372	XP_006538992
NP_006729	XP_036009413
NP_542417	NP_064411
NP_059984	NP_032909
NP_057417	XP_030105988
NP_001364953	XP_006510505
XP_006724878	XP_006527898
NP_002448	NP_076055
NP_001371747	XP_030105757
NP_620305	NP_849211
XP_006722497	NP_780751
XP_011520314	XP_006540901
XP_005269705	XP_006519097
XP_024305999	XP_011240059
XP_011523944	NP_083163
XP_011531007	NP_598774
XP_005272229	XP_030107510
NP_055523	NP_001035886
NP_803187	XP_006515671
NP_060542	NP_659084
NP_062535	NP_848140
NP_001364472	NP_001028592
XP_011509919	NP_001277603
XP_006722277	NP_938040
NP_006412	NP_001095900
NP_002461	XP_006532475
NP_005174	NP_062528
NP_065770	NP_778187
NP_001373268	XP_006507990
XP_011529011	XP_006521601
XP_016877839	NP_067425
XP_005262352	XP_017174001
NP_055918	NP_080652
NP_036462	XP_006519326
NP_001369277	XP_006510890
NP_060482	NP_001155137
NP_003963	NP_001074175
NP_000248	NP_542766
XP_024304557	XP_011238754
XP_006723661	XP_006499580
NP_001296171	NP_001371162
NP_002462	XP_006518740
NP_060004	NP_001034634
XP_024308593	XP_011237967
NP_001035203	XP_006521906
NP_002464	NP_071855
NP_005954	XP_017169807
NP_079216	NP_808448
NP_001333694	XP_036012686
NP_001292204	XP_006538554
XP_011522064	NP_001355860
XP_024309019	XP_006515157
XP_016877297	XP_006515890
NP_001352881	NP_001277924
NP_001351860	NP_001342625
NP_056288	XP_006516072
NP_002463	XP_036012291
XP_016869811	NP_808531
NP_003793	NP_001074719
NP_060003	NP_034985
XP_016867690	XP_006515056
NP_955452	NP_084253
XP_011516365	XP_006538438
NP_004937	NP_203538
XP_011512129	XP_006504113
NP_004548	XP_006523861
NP_060404	NP_001074685
NP_001291288	XP_006508562
NP_005641	NP_001107612
XP_016866290	XP_017170847
XP_011512294	NP_001074533
XP_024309159	XP_006521964
XP_016883228	XP_011238010
NP_055601	NP_001074585
XP_016859658	NP_115770
XP_016883475	XP_017174700
NP_001366560	XP_006529218
XP_011509159	XP_006496646
NP_001307764	XP_006510807
XP_006718110	XP_006526643
XP_006722671	NP_001359169
NP_056477	NP_080574
XP_011543206	NP_001017985
NP_001358972	NP_001177412
NP_006411	NP_001078964
XP_005258413	XP_006525803
NP_036553	NP_001333589
XP_006721929	XP_017169838
XP_011543672	NP_001356292
NP_694984	NP_001074946
NP_001262	NP_001074814
XP_024303906	XP_006525854
NP_004738	XP_017171686
NP_066363	XP_036018635
XP_005264475	NP_001350297
NP_001374479	XP_017175608
NP_705838	NP_076310
NP_004136	XP_006509629
NP_001138462	NP_795980
NP_659419	XP_006513601
NP_001157281	XP_006532609
XP_016878010	XP_006540841
NP_055640	NP_083773
XP_011528760	NP_083177
NP_000060	NP_001074492
XP_011516468	NP_001366203
NP_000123	NP_032003
NP_000084	NP_056549
XP_024305104	XP_036014574
XP_011542831	XP_036009708
NP_001275582	XP_006534046
NP_001317569	XP_006538086
NP_055616	XP_011246697
NP_055873	NP_082182
XP_011525622	NP_001258467
XP_016855575	NP_001074832
XP_016880467	NP_033323
NP_056311	NP_001074652
XP_016881477	XP_006526131
XP_006722059	XP_030101765
NP_061836	XP_006523176
XP_011517755	NP_001297384
XP_016876668	XP_036013207
XP_011542959	NP_001074618
NP_056019	NP_001158277
NP_705833	NP_777273
NP_612429	NP_001365427
NP_002283	NP_032509
NP_001362342	NP_001292213
XP_011515533	NP_001357841
NP_777576	NP_033487
XP_016857028	XP_006539220
NP_001155973	NP_659061
NP_002327	NP_032540
XP_011542792	XP_006509052
XP_016862217	NP_001074720
XP_011531155	NP_064303
NP_001335658	XP_006515314
NP_000325	NP_573462
NP_001353076	XP_006527017
NP_001358973	NP_067398
NP_001272368	XP_006520066
XP_016855823	XP_006501032
NP_000050	NP_001074470
XP_011511010	NP_001156356
NP_689854	NP_780460
XP_005263966	NP_061360
NP_056169	NP_938046
NP_057688	NP_001074725
NP_001156729	NP_062533
NP_001293018	NP_001361158
XP_016866367	XP_006523815
NP_001073936	XP_006525777
NP_061152	XP_006535868
XP_011510089	NP_001297597
XP_024307083	NP_001334010
NP_001363793	XP_006520476
NP_001036068	NP_666109
NP_001371404	NP_001028513
XP_011543165	XP_006531835
XP_006716714	NP_001355351
NP_002290	NP_001074547
XP_005267041	NP_034811
NP_001073890	XP_017168363
XP_016872877	XP_006508582
NP_002572	NP_067337
XP_011512740	NP_666190
XP_024304666	XP_006530300
NP_001352054	XP_006507958
XP_011530986	NP_001334242
NP_001376220	XP_011246535
NP_071396	XP_036013758
XP_016874530	XP_011241835
XP_024309300	NP_647461
XP_011510350	XP_006500099
NP_009117	XP_006498859
NP_001511	NP_997122
NP_001136235	NP_075604
XP_006719768	XP_036014955
XP_011509772	XP_036013412
XP_011517906	XP_006497601
XP_011523673	XP_011247292
XP_024308847	XP_006495930
XP_011543331	NP_032539
XP_005273269	NP_001074806
XP_005248268	NP_001278156
XP_005258728	XP_011249029
NP_055935	XP_006506113
NP_001358518	XP_036016382
XP_011510412	NP_001264005
XP_005265428	NP_001192250
XP_016883917	XP_006522994
NP_000419	NP_001357672
NP_001186978	NP_001289475
XP_011532279	XP_017172382
XP_011517730	XP_006516536
NP_002637	XP_006529595
NP_001355324	XP_006528948
NP_542411	XP_006523622
NP_997191	NP_084213
NP_060132	NP_700466
XP_006711705	NP_001276630
NP_001036009	NP_783572
XP_005268284	XP_006515826
NP_115804	NP_001307875
XP_011517228	XP_011242717
NP_056056	XP_036021853
XP_024310112	NP_031716
XP_006724599	XP_030107359
NP_001269789	XP_036019277
NP_003861	NP_057930
NP_714544	NP_536707
XP_011539386	NP_001075026
NP_065970	NP_001153420
XP_016863419	XP_011247763
NP_002284	NP_034813
NP_001307676	XP_036012216
XP_024309179	NP_061285
NP_996879	NP_083168
XP_011542759	XP_006518682
NP_001695	NP_783573
NP_001333342	XP_006508335
NP_001363500	XP_030106062
NP_001303278	XP_036019103
NP_001351247	XP_006504045
XP_016877280	XP_036013122
NP_001032	NP_001074606
XP_011520940	NP_001273649
NP_001317629	NP_033435
XP_006722909	XP_011240739
NP_003052	NP_056563
XP_011536103	XP_011241584
XP_005263415	XP_011238578
XP_011532283	XP_006523098
XP_011520124	NP_001177303
XP_006724840	XP_036017875
NP_001017969	NP_766424
NP_775873	XP_011243931
XP_016869180	XP_006520332
NP_061198	XP_006510998
XP_005246722	NP_001342343
XP_016857388	XP_011238809
NP_001308307	NP_035213
NP_071348	NP_898842
XP_005258149	XP_006523457
NP_001080	NP_038883
NP_079146	XP_006495504
NP_056380	NP_001074537
XP_016857374	NP_001357710
XP_016857512	NP_001078845
NP_000121	NP_032002
XP_024308699	XP_030102487
NP_001258875	NP_035542
XP_011517854	XP_036016008
XP_024305390	XP_006515593
XP_016879389	NP_001074623
XP_005258164	XP_006526305
XP_005266191	XP_036016658
NP_001129131	XP_011244620
XP_016879516	NP_001032853
XP_016885151	XP_006541566
NP_001248392	XP_006526808
NP_001356197	NP_001348429
NP_001073883	NP_080957
NP_000019	NP_001074795
NP_003377	NP_035871
XP_011543362	XP_006507232
XP_016870344	XP_036019889
XP_016867287	XP_036013024
XP_011511221	NP_036046
NP_115818	NP_001013432
XP_011539361	NP_001355990
NP_001278910	XP_006512669
XP_011524010	NP_001344554
XP_005261261	NP_062307
NP_001010870	NP_001154838
XP_006711821	NP_080651
NP_056240	NP_033114
NP_065871	NP_808450
XP_016874708	XP_011239523
XP_016883940	XP_011244414
NP_001135452	NP_038763
NP_001836	NP_034061
XP_011539559	XP_011248533
NP_001365136	XP_006524912
XP_011537056	XP_006520926
XP_016883947	XP_006523047
NP_004178	XP_006528832
XP_011526807	XP_006500673
NP_002340	NP_038853
NP_064693	XP_006507014
NP_001013725	NP_038747
XP_005267693	XP_006515501
XP_024307588	XP_017172075
XP_006712709	XP_006496130
XP_011529151	NP_001156627
XP_005260519	XP_006499421
NP_061142	NP_671752
NP_001300971	NP_690855
NP_722576	NP_001349814
NP_001239029	NP_001034561
NP_004230	NP_082722
XP_011533950	XP_006495899
XP_016873686	XP_036008753
NP_001365368	XP_017171930
NP_001337091	XP_006509040
XP_005269704	NP_035183
NP_004482	XP_006539872
XP_006724642	XP_006528905
XP_024305825	XP_006511230
XP_016883780	XP_006514002
NP_006030	XP_006532469
NP_001295049	XP_006516083
NP_787954	NP_001092767
XP_005256606	XP_030101681
NP_001362582	NP_001107871
NP_001374509	XP_006511816
NP_001356185	XP_036020343
XP_011534248	XP_006523312
NP_001157858	XP_006532623
XP_024307049	NP_034997
NP_055160	NP_997554
NP_001161707	NP_001161370
NP_055790	NP_064329
NP_060023	NP_080850
NP_542194	NP_001158135
NP_001276325	XP_006527346
NP_008841	XP_036008696
NP_056100	NP_001014981
NP_001358171	NP_001355234
NP_001352935	XP_036019331
NP_997186	NP_852080
XP_016878661	NP_032196
NP_055506	NP_033832
XP_016866180	NP_001071175
NP_004295	NP_031465
XP_011510863	XP_017175082
XP_005255916	XP_006531208
NP_001837	NP_034062
NP_064505	NP_942602
NP_919431	NP_598582
NP_056281	NP_001074512
NP_004749	XP_006532765
NP_116277	XP_006538098
XP_016859146	XP_006529983
NP_079357	NP_001035161
NP_003886	XP_011244377
NP_004220	NP_001041673
XP_016855481	XP_011248512
XP_005254465	NP_032710
NP_001354395	XP_017175032
NP_005206	NP_031857
NP_004765	NP_001073587
XP_011542260	XP_006527657
NP_001185879	XP_006508841
NP_005076	XP_006498008
NP_056045	XP_011239014
NP_005752	XP_030101040
XP_024303525	XP_006508127
NP_001847	XP_006502703
NP_005913	NP_036078
NP_001036146	XP_006539200
NP_001371475	NP_036008
NP_055804	XP_036009856
XP_011527896	XP_017169327
NP_001238949	NP_001034193
NP_003623	XP_030102010
XP_024302907	NP_001157645
XP_006713103	XP_006512447
XP_011515697	XP_017171859
XP_011516804	XP_017174685
NP_008986	NP_001074716
NP_000384	NP_031763
XP_005270733	XP_036019916
NP_036326	XP_011237828
XP_011538765	XP_006502762
XP_016878863	NP_032935
NP_001278796	NP_001277455
NP_001309185	NP_109655
NP_004437	NP_001344403
NP_001004334	NP_001074689
NP_001181875	XP_006521998
XP_005255780	NP_821172
NP_000199	NP_001316985
NP_001353774	NP_035873
NP_001264214	XP_011240777
NP_036425	XP_006515268
NP_001275659	XP_036014050
XP_016873061	XP_017169189
NP_001191147	NP_032738
XP_016862847	XP_036014507
XP_016867371	XP_006516872
XP_011540770	NP_742120
NP_647537	XP_006498669
NP_003961	XP_006508790
XP_005266355	XP_006504964
NP_056534	NP_058615
XP_024310051	XP_006529697
XP_005265126	XP_036010996
NP_001354553	XP_006531621
XP_016865394	NP_780710
XP_005259717	XP_011241692
XP_016862450	NP_033007
NP_001157968	NP_001028419
NP_055312	XP_006505767
NP_001363446	NP_001159888
NP_006624	XP_036013984
NP_000255	NP_032983
NP_001073991	XP_036020946
NP_054799	NP_001349684
NP_219499	NP_525024
XP_024305174	XP_011243521
XP_016863960	NP_001360823
XP_024309041	NP_001028656
NP_056471	XP_006516225
XP_011541883	NP_001156485
NP_065880	NP_001074788
NP_075447	NP_001074738
XP_011539187	NP_001156449
NP_056276	NP_663467
NP_001265354	XP_036010263
NP_071926	XP_006525551
NP_874365	NP_598850
XP_011510861	NP_001159682
NP_055454	XP_006517297
XP_011509205	XP_006496053
NP_001804	NP_776123
NP_690848	XP_036015470
XP_016874317	NP_112440
XP_011543334	XP_006531731
XP_005262366	XP_006528223
NP_002429	NP_032651
NP_001058	XP_006533216
XP_024306918	NP_444329
NP_036363	NP_001074824
XP_011509378	XP_006529103
XP_016859066	XP_006495755
NP_004317	XP_006502352
NP_009224	XP_006523594
XP_024305769	XP_006508417
NP_001186346	XP_006533928
NP_001372548	XP_006526020
NP_001003699	XP_006516819
NP_000159	NP_032156
NP_065973	XP_011246131
NP_001336221	NP_001074835
XP_016869593	XP_011236641
NP_056128	NP_081420
NP_065194	NP_001156791
XP_016877626	XP_006540704
NP_056046	NP_067487
XP_016868329	XP_006535806
XP_011533852	NP_001357742
XP_011510616	NP_038818
NP_001369437	XP_006520084
NP_001028229	XP_006505643
NP_001304092	XP_017171158
XP_005258290	XP_017173500
NP_001161328	NP_001346907
XP_016878726	NP_032602
NP_006062	NP_035235
XP_016868239	XP_006516829
XP_373030	NP_001357791
NP_001351785	XP_011237041
XP_016858161	XP_006538839
XP_011541005	XP_030099813
XP_016868457	XP_030107930
NP_065812	NP_083174
NP_054860	NP_001004357
XP_006721234	XP_011246862
XP_011532222	XP_036008223
NP_000205	NP_038850
NP_001284636	XP_006529895
NP_705618	NP_573490
XP_016881964	XP_030099484
NP_619727	NP_061293
XP_016880922	XP_006534333
XP_024308661	XP_036018500
NP_055417	XP_036011263
NP_001278651	XP_006534525
NP_001351997	NP_996992
NP_003276	XP_006496806
XP_011531220	NP_001349278
NP_036565	NP_112456
XP_016867022	NP_079887
XP_011533205	XP_030103630
XP_011520551	XP_006499802
NP_055621	XP_006537591
NP_001035207	XP_006508249
NP_001317137	XP_006508336
XP_016856233	XP_011238392
NP_000055	NP_033908
NP_003734	XP_006515068
NP_001371381	XP_011245474
NP_000043	NP_001103227
XP_016858421	XP_030111426
XP_006711655	XP_036009284
NP_775760	NP_001159538
NP_009115	NP_073147
XP_006724680	NP_444415
XP_005246247	XP_036013163
NP_001317289	NP_032918
NP_001073948	XP_006517581
NP_001357331	NP_035844
XP_006711722	XP_006501327
XP_024309901	NP_001280712
NP_065910	NP_056571
NP_038476	NP_038843
NP_001295	NP_031780
NP_073752	XP_011241056
NP_001352564	NP_001108351
NP_001307279	NP_612174
XP_005263453	XP_006497961
XP_011517801	NP_680779
NP_005912	NP_036075
XP_011524491	XP_006525889
XP_011514525	XP_011239344
XP_005264105	XP_006496104
NP_001973	NP_034283
NP_001093869	XP_006504178
NP_008870	XP_006515698
NP_001122080	NP_001342222
NP_056028	NP_067469
NP_078966	XP_011240936
XP_011515262	XP_006521570
NP_005624	NP_033257
NP_055144	XP_006530964
XP_016866359	NP_032606
XP_016856413	XP_011238534
XP_006721594	XP_006533740
NP_001159583	NP_001346052
NP_612369	XP_006519110
NP_579878	XP_006503721
NP_003738	NP_780300
XP_005255136	XP_011244108
XP_016877510	NP_766124
NP_056280	NP_001160141
XP_011543457	NP_001028514
XP_011508422	NP_808310
NP_001158137	NP_918950
NP_001008537	XP_006528097
XP_005248611	NP_001005868
NP_001311048	NP_001158133
NP_057591	NP_001103096
XP_005251926	NP_001028931
NP_055843	XP_006535580
NP_689856	NP_796235
XP_005260495	NP_067255
NP_000079	NP_031768
XP_011513778	XP_011242029
NP_065976	NP_932154
NP_060045	NP_001002764
XP_006719365	XP_030104299
NP_000081	NP_034060
XP_011511892	NP_001230052
NP_001091868	XP_036013272
XP_016878512	NP_001157238
XP_011512026	NP_001346808
XP_024305122	XP_036014595
XP_024306297	NP_671753
NP_060887	XP_017176545
XP_024306443	NP_001074627
XP_005254127	NP_033444
NP_005397	NP_033097
XP_016867673	XP_011239372
XP_011514557	XP_006516011
NP_036546	NP_001157226
NP_002217	XP_011242300
XP_011513476	NP_001355800
NP_056526	XP_006539980
XP_024303606	XP_036014802
NP_001136254	NP_001152826
NP_001124295	XP_006510051
NP_001350318	XP_006505170
XP_005255767	XP_006507821
XP_005246338	NP_031761
NP_000082	NP_031760
NP_003889	NP_001106824
NP_689585	NP_001078978
NP_001034230	XP_006520347
NP_075556	XP_036015809
NP_872584	NP_001181869
NP_001362299	XP_011249287
XP_016864349	XP_011239045
XP_011535239	XP_006519105
XP_016861136	XP_017168851
NP_000370	NP_035853
XP_005254194	NP_001313280
XP_005260807	XP_036014693
NP_006763	XP_006524298
NP_005853	NP_033308
XP_011524713	XP_030098591
XP_024304866	XP_006530280
XP_005250207	XP_017176143
NP_056018	NP_001074762
XP_011529936	XP_006531305
XP_006713348	XP_006511942
XP_005253383	XP_006507126
NP_001164432	XP_011249304
XP_024309653	XP_006509489
XP_005257825	XP_006534273
XP_005264880	XP_006511895
NP_036558	XP_006530581
XP_011517818	XP_006516524
NP_001353615	NP_081774
XP_011509233	NP_766051
XP_016866497	XP_011242635
NP_001355794	XP_006510898
NP_002652	NP_758489
XP_006712743	NP_033161
XP_011526231	XP_006531149
XP_016861981	XP_030110982
NP_065815	XP_006524376
XP_024305664	NP_001103820
XP_011537169	XP_011246510
XP_016883022	XP_030098433
NP_001353453	XP_030101104
NP_055869	NP_083442
NP_001317928	XP_006496292
XP_011522859	NP_001152964
XP_016865476	NP_001001979
NP_660333	NP_598672
NP_742066	XP_036016351
XP_011540130	NP_001076811
XP_016866934	NP_001334325
XP_006721054	XP_006523466
XP_011509271	XP_036016415
NP_005327	XP_006529140
XP_011517314	XP_006517270
NP_054831	XP_006521623
XP_011512144	XP_006504082
XP_016871696	XP_006518654
NP_036525	NP_001152991
NP_055945	NP_001104774
XP_011541349	XP_017168908
NP_079429	XP_017170095
XP_024305969	NP_038959
XP_005256612	NP_071292
NP_061903	NP_766182
NP_982354	NP_001074846
XP_024309509	XP_006506845
XP_011532780	NP_032055
NP_001371957	XP_006511049
XP_011519396	NP_001074721
NP_003777	NP_001350116
XP_011538498	NP_081835
XP_011540739	XP_006503049
XP_024303020	XP_036015225
NP_996810	XP_036009492
NP_694591	NP_083332
XP_011530082	NP_766269
XP_016873816	XP_036018636
XP_011516423	NP_035966
XP_011512123	XP_006503881
XP_005249419	NP_035820
NP_001275914	XP_006533522
NP_003237	NP_035710
XP_005263172	XP_017175214
NP_055835	NP_001116066
NP_055030	XP_006501514
XP_005263479	XP_036020183
NP_001106	NP_033753
XP_024304124	XP_017177675
XP_006713968	XP_006504184
NP_078970	XP_017169364
NP_000929	NP_722493
NP_689472	NP_084111
XP_024305333	XP_011242512
NP_060918	NP_082270
XP_016880658	XP_017170155
XP_005246449	NP_032893
NP_000383	NP_038834
XP_011512437	NP_001291971
XP_024306826	XP_011248570
XP_011535336	NP_849243
NP_071765	XP_006510170
NP_001361314	NP_001001488
NP_001365498	XP_006516889
NP_002244	NP_034742
XP_005268318	NP_033858
XP_006715037	XP_011244550
NP_001120932	XP_036011343
NP_005952	NP_001355882
NP_065769	NP_001028345
NP_001268400	XP_006529553
XP_005266359	XP_036014719
NP_062565	XP_006531583
XP_011508975	NP_795954
XP_011531457	XP_006523510
NP_055659	NP_001276439
XP_005248308	NP_032755
NP_001353347	NP_001157113
XP_016861407	XP_006512147
XP_016856341	NP_573502
NP_060587	NP_758459
NP_207837	NP_569724
NP_060224	NP_001074238
NP_000780	NP_997507
NP_056140	NP_659086
NP_001276976	NP_001355635
XP_011531792	NP_001239612
NP_001354863	NP_001355579
XP_011541416	NP_001074489
XP_005267462	NP_032721
XP_011533457	NP_001028215
NP_001271188	XP_006527144
NP_001354427	NP_001357942
NP_542166	XP_006497548
XP_005268509	XP_006526383
NP_079330	NP_775619
